Age,Grade Level,Hours on Social Media,Platforms,Device,Reasons,GPA,Affects Performance,Effect Details,Academic Use Frequency,Academic Use Type,Check Frequency,Overall Effect,Would Perform Better,Reduced Usage,Improvement Noted,Life Impact,Likes,Dislikes,Comments
16-18,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Tablet,News and updates,3.0-3.5,Not sure,Motivates me through educational content,Always,"Joining study groups, Sharing academic resources",Multiple times per hour,Neutral,Not sure,Not sure,Yes,Mostly positive,Entertainment,Information insecurity and rumors,Buy sure term real force.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Laptop,"Entertainment, Educational purposes",3.0-3.5,Not sure,"Causes me to procrastinate, Motivates me through educational content",Frequently,"Joining study groups, Participating in online discussions, Seeking help from peers/experts, Watching educational videos",Multiple times per hour,Neutral,Yes,Not sure,Not sure,Mostly negative,Entertainment,Addiction,Meet participant hour building wonder answer hear.
19-21,College/University,3-4 hours,Instagram,Smartphone,"News and updates, Socializing with friends",3.0-3.5,No,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Always,"Watching educational videos, Sharing academic resources",Every hour,Neutral,Yes,Not sure,No,Neutral,It connects the whole world,Nothing,Tend station over may material major manage.
19-21,College/University,1-2 hours,Instagram,Laptop,"Socializing with friends, News and updates",2.5-3.0,Yes,Distracts me from studying,Frequently,"Sharing academic resources, Joining study groups, Seeking help from peers/experts",Multiple times per hour,Mostly positive,No,Yes,Not sure,Mostly positive,It connects the whole world,Improper content,Billion record seek civil they.
16-18,College/University,5-6 hours,Instagram,Smartphone,"Professional networking, Socializing with friends, Entertainment",2.5-3.0,No,"Helps me with research and study groups, Distracts me from studying",Frequently,Seeking help from peers/experts,Once or twice,Neutral,Yes,Not sure,Yes,Mostly positive,Wide range of resources,Addiction,Mind exactly still girl process.
19-21,College/University,More than 6 hours,YouTube,Smartphone,Professional networking,2.5-3.0,No,"Motivates me through educational content, Distracts me from studying, Causes me to procrastinate",Occasionally,Joining study groups,Once or twice,Unsure,No,Yes,Yes,Mostly negative,Wide range of resources,Information insecurity and rumors,Pick TV talk old.
16-18,College/University,5-6 hours,"Instagram, WhatsApp",Smartphone,News and updates,3.0-3.5,Yes,Motivates me through educational content,Frequently,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Mostly negative,No,Yes,Not sure,Mostly negative,It connects the whole world,Information insecurity and rumors,Pass in loss western.
Over 21,College/University,1-2 hours,YouTube,Smartphone,"Professional networking, Educational purposes",3.5-4.0,No,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Frequently,"Sharing academic resources, Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Yes,No,Yes,Unsure,Wide range of resources,Nothing,Woman movie ever street five article.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Laptop,Professional networking,3.0-3.5,Yes,"Motivates me through educational content, Distracts me from studying",Frequently,Joining study groups,Every hour,Mostly positive,Not sure,Not sure,No,Mostly negative,Socializing with friends,Nothing,Worry newspaper clear there.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Tablet,"Educational purposes, Professional networking",3.0-3.5,Yes,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Always,Sharing academic resources,Every hour,Neutral,No,Yes,Yes,Mostly positive,Socializing with friends,Distraction,Name system question section.
19-21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Entertainment, Socializing with friends, News and updates",3.0-3.5,Yes,"Motivates me through educational content, Distracts me from studying",Frequently,"Seeking help from peers/experts, Watching educational videos, Joining study groups, Sharing academic resources",Once or twice,Mostly negative,Not sure,No,No,Mostly negative,Educational information,Distraction,Marriage truth recognize technology finally easy Mr.
19-21,College/University,5-6 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, News and updates, Professional networking",2.5-3.0,Yes,"Causes me to procrastinate, Distracts me from studying, Helps me with research and study groups",Occasionally,"Watching educational videos, Sharing academic resources, Participating in online discussions, Joining study groups",Every hour,Mostly negative,Not sure,Yes,Not sure,Unsure,It connects the whole world,Nothing,Air third opportunity campaign someone.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Laptop,"Educational purposes, Entertainment",3.5-4.0,Yes,"Motivates me through educational content, Helps me with research and study groups",Always,"Seeking help from peers/experts, Participating in online discussions, Joining study groups, Sharing academic resources",Once or twice,Neutral,Yes,Not sure,Yes,Neutral,Socializing with friends,Distraction,Recognize can radio role at unit single.
Over 21,College/University,1-2 hours,Instagram,Smartphone,"Entertainment, News and updates, Socializing with friends",3.5-4.0,Yes,Causes me to procrastinate,Frequently,"Sharing academic resources, Joining study groups, Participating in online discussions",Every hour,Mostly negative,Yes,No,No,Mostly negative,Socializing with friends,Improper content,Rock full sister exist daughter.
16-18,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, Socializing with friends",2.5-3.0,Yes,"Distracts me from studying, Motivates me through educational content",Occasionally,Joining study groups,Once or twice,Unsure,Not sure,Not sure,No,Neutral,Educational information,Nothing,Trial last public avoid white north.
16-18,College/University,1-2 hours,Instagram,Laptop,Entertainment,2.0-2.5,Yes,"Helps me with research and study groups, Motivates me through educational content",Frequently,"Seeking help from peers/experts, Participating in online discussions",Multiple times per hour,Neutral,Not sure,No,Yes,Neutral,It connects the whole world,Information insecurity and rumors,Although interview his low without want sea.
19-21,College/University,1-2 hours,Instagram,Smartphone,"Socializing with friends, Professional networking",3.0-3.5,No,"Helps me with research and study groups, Causes me to procrastinate",Always,"Watching educational videos, Seeking help from peers/experts",Once or twice,Mostly negative,No,Yes,Not sure,Mostly positive,Educational information,It causes procrastination,Store name prevent will half its clearly dark.
16-18,College/University,Less than 1 hour,"WhatsApp, YouTube",Smartphone,News and updates,3.0-3.5,Yes,Motivates me through educational content,Frequently,"Participating in online discussions, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Once or twice,Mostly negative,No,Yes,Not sure,Neutral,Wide range of resources,Addiction,Citizen record wonder size office couple heavy.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Entertainment,2.5-3.0,Yes,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Occasionally,"Watching educational videos, Seeking help from peers/experts",Multiple times per hour,Unsure,Not sure,Not sure,Not sure,Neutral,Socializing with friends,Nothing,Citizen opportunity remain into black perform.
19-21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,"Educational purposes, Socializing with friends",3.5-4.0,No,Helps me with research and study groups,Frequently,Participating in online discussions,Multiple times per hour,Mostly positive,No,No,No,Unsure,Entertainment,It causes procrastination,Win everything arm water visit mention.
Over 21,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Tablet,"Professional networking, Socializing with friends, Educational purposes",2.5-3.0,No,Causes me to procrastinate,Occasionally,"Joining study groups, Watching educational videos, Participating in online discussions",Every hour,Unsure,Not sure,No,Not sure,Neutral,It connects the whole world,Addiction,Then population hard thing some watch question.
19-21,College/University,3-4 hours,YouTube,Smartphone,Entertainment,3.5-4.0,Yes,Helps me with research and study groups,Frequently,Sharing academic resources,Multiple times per hour,Mostly positive,Not sure,Not sure,Yes,Mostly negative,Socializing with friends,Nothing,Character season forget.
16-18,College/University,3-4 hours,YouTube,Laptop,"Educational purposes, Professional networking",2.0-2.5,Not sure,"Causes me to procrastinate, Distracts me from studying",Always,"Participating in online discussions, Joining study groups, Seeking help from peers/experts",Once or twice,Unsure,Not sure,No,Yes,Mostly positive,It connects the whole world,Nothing,Direction skin paper defense join.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,Entertainment,2.5-3.0,No,"Causes me to procrastinate, Motivates me through educational content, Distracts me from studying",Frequently,"Seeking help from peers/experts, Watching educational videos, Joining study groups, Participating in online discussions",Every hour,Neutral,Yes,No,No,Mostly negative,Socializing with friends,Distraction,Scientist fight development woman stay until audience author.
19-21,College/University,5-6 hours,Instagram,Smartphone,"News and updates, Educational purposes",2.0-2.5,Yes,Motivates me through educational content,Always,Joining study groups,Multiple times per hour,Unsure,Not sure,Not sure,No,Mostly negative,Awareness,Improper content,Increase little various campaign.
Over 21,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Tablet,"Entertainment, Educational purposes",3.5-4.0,No,Helps me with research and study groups,Frequently,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources, Joining study groups",Once or twice,Unsure,Yes,No,Yes,Unsure,Awareness,Nothing,Rate or type family begin respond.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,"News and updates, Educational purposes",3.0-3.5,Yes,"Motivates me through educational content, Causes me to procrastinate",Always,"Watching educational videos, Seeking help from peers/experts, Sharing academic resources, Participating in online discussions",Multiple times per hour,Mostly positive,Not sure,Yes,No,Mostly negative,It connects the whole world,It causes procrastination,Image finish mention seat team happy near company.
16-18,College/University,Less than 1 hour,"WhatsApp, YouTube",Smartphone,"Socializing with friends, Entertainment, Educational purposes",3.0-3.5,Yes,Distracts me from studying,Always,"Seeking help from peers/experts, Joining study groups, Watching educational videos, Sharing academic resources",Every hour,Neutral,No,No,Not sure,Mostly positive,It connects the whole world,Distraction,Each green population campaign.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,Entertainment,2.5-3.0,No,"Helps me with research and study groups, Causes me to procrastinate",Always,"Watching educational videos, Joining study groups, Sharing academic resources",Once or twice,Neutral,Not sure,Not sure,Yes,Mostly negative,Awareness,It causes procrastination,Position talk station feel wrong point.
19-21,College/University,Less than 1 hour,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,News and updates,3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content",Frequently,Joining study groups,Every hour,Mostly negative,Not sure,Yes,Yes,Unsure,It connects the whole world,Information insecurity and rumors,Red sport everything put.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,News and updates,2.0-2.5,Yes,"Causes me to procrastinate, Distracts me from studying, Helps me with research and study groups",Always,"Seeking help from peers/experts, Joining study groups, Participating in online discussions, Sharing academic resources",Every hour,Mostly negative,Yes,Not sure,No,Mostly positive,Awareness,Addiction,Entire recognize race bad past country still.
19-21,College/University,More than 6 hours,Instagram,Smartphone,Professional networking,3.0-3.5,No,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Always,"Watching educational videos, Sharing academic resources, Joining study groups",Every hour,Mostly negative,No,No,No,Unsure,Awareness,Nothing,Claim side friend whether race Mr.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Entertainment,3.0-3.5,No,"Motivates me through educational content, Helps me with research and study groups",Always,"Joining study groups, Sharing academic resources, Participating in online discussions",Multiple times per hour,Unsure,Yes,Yes,Not sure,Neutral,Socializing with friends,Nothing,Establish easy way teach popular whose commercial truth.
19-21,College/University,1-2 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, News and updates, Socializing with friends",3.0-3.5,No,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Always,"Sharing academic resources, Joining study groups",Every hour,Unsure,No,No,Not sure,Unsure,Entertainment,Improper content,Animal represent safe loss.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Smartphone,"Socializing with friends, Educational purposes",3.5-4.0,Not sure,Motivates me through educational content,Occasionally,"Joining study groups, Watching educational videos",Multiple times per hour,Neutral,Yes,Yes,Not sure,Mostly negative,Socializing with friends,Distraction,Country sport Republican door term again.
16-18,College/University,Less than 1 hour,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Tablet,"Professional networking, Socializing with friends, Educational purposes",3.0-3.5,Yes,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Frequently,"Seeking help from peers/experts, Participating in online discussions, Watching educational videos",Multiple times per hour,Mostly positive,No,No,Not sure,Unsure,Educational information,It causes procrastination,Blue reflect much animal.
19-21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Entertainment, News and updates, Educational purposes",3.5-4.0,No,"Causes me to procrastinate, Helps me with research and study groups, Motivates me through educational content",Frequently,"Sharing academic resources, Watching educational videos",Once or twice,Unsure,Yes,No,Not sure,Unsure,Wide range of resources,It causes procrastination,Wrong account member official.
19-21,College/University,3-4 hours,Instagram,Laptop,Entertainment,2.5-3.0,Yes,"Helps me with research and study groups, Causes me to procrastinate",Occasionally,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Once or twice,Neutral,No,Yes,Yes,Unsure,Educational information,Nothing,Heart red stand wonder.
Over 21,College/University,Less than 1 hour,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,"Educational purposes, Professional networking",2.0-2.5,Yes,"Distracts me from studying, Motivates me through educational content",Always,"Sharing academic resources, Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Unsure,No,No,Yes,Mostly positive,It connects the whole world,It causes procrastination,First food cup anyone able their.
19-21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, Socializing with friends, Entertainment",3.5-4.0,Not sure,"Causes me to procrastinate, Helps me with research and study groups",Frequently,"Sharing academic resources, Watching educational videos, Seeking help from peers/experts, Joining study groups",Every hour,Mostly positive,Not sure,No,Not sure,Mostly positive,Entertainment,Nothing,Type mind conference author.
19-21,College/University,5-6 hours,YouTube,Smartphone,Professional networking,3.0-3.5,No,Motivates me through educational content,Occasionally,"Joining study groups, Sharing academic resources, Seeking help from peers/experts",Every hour,Neutral,Yes,Yes,Not sure,Unsure,Educational information,Information insecurity and rumors,Identify voice art on.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Educational purposes,3.0-3.5,Not sure,"Causes me to procrastinate, Distracts me from studying",Occasionally,Joining study groups,Every hour,Unsure,No,Yes,No,Mostly negative,Entertainment,Distraction,Together item party me.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Educational purposes, Socializing with friends",3.0-3.5,No,"Causes me to procrastinate, Distracts me from studying",Always,"Watching educational videos, Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Every hour,Mostly positive,Yes,Not sure,Not sure,Unsure,Wide range of resources,Improper content,Rock occur be prevent book follow.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"Socializing with friends, Professional networking",3.5-4.0,Yes,"Causes me to procrastinate, Helps me with research and study groups, Distracts me from studying",Always,"Participating in online discussions, Watching educational videos, Sharing academic resources, Joining study groups",Multiple times per hour,Mostly negative,Yes,No,Not sure,Mostly negative,It connects the whole world,Nothing,Character weight central difficult score agency.
19-21,College/University,5-6 hours,YouTube,Smartphone,Professional networking,2.5-3.0,No,"Helps me with research and study groups, Motivates me through educational content, Causes me to procrastinate",Always,"Watching educational videos, Seeking help from peers/experts, Participating in online discussions",Every hour,Unsure,Yes,Not sure,No,Mostly negative,Socializing with friends,Addiction,Size start someone address capital off meeting really.
Over 21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Socializing with friends, Educational purposes",3.0-3.5,Yes,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Frequently,"Sharing academic resources, Watching educational videos, Joining study groups, Seeking help from peers/experts",Every hour,Neutral,Not sure,Yes,Yes,Unsure,Entertainment,It causes procrastination,Just act marriage grow road firm.
19-21,College/University,5-6 hours,Instagram,Smartphone,"Professional networking, Educational purposes, News and updates",2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups",Occasionally,"Sharing academic resources, Watching educational videos, Joining study groups",Once or twice,Neutral,Not sure,Yes,Yes,Unsure,Socializing with friends,Addiction,That onto soldier organization station.
16-18,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Entertainment",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Causes me to procrastinate",Occasionally,"Joining study groups, Watching educational videos",Every hour,Mostly negative,No,Not sure,No,Mostly positive,It connects the whole world,It causes procrastination,Administration technology citizen ever father various result.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, News and updates",2.5-3.0,Yes,Helps me with research and study groups,Frequently,Sharing academic resources,Multiple times per hour,Unsure,Not sure,No,Yes,Unsure,It connects the whole world,Nothing,Series measure fall trouble.
16-18,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, Entertainment, Professional networking",3.0-3.5,Yes,"Causes me to procrastinate, Distracts me from studying",Always,"Joining study groups, Sharing academic resources, Seeking help from peers/experts, Participating in online discussions",Multiple times per hour,Neutral,Not sure,Not sure,Yes,Unsure,Wide range of resources,Information insecurity and rumors,Off today value piece open choice.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Laptop,"Socializing with friends, News and updates, Entertainment",3.0-3.5,Yes,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Occasionally,"Joining study groups, Watching educational videos",Once or twice,Neutral,No,No,Not sure,Mostly positive,Educational information,Information insecurity and rumors,Move bag religious remain live staff.
19-21,College/University,Less than 1 hour,YouTube,Laptop,Educational purposes,3.5-4.0,No,"Helps me with research and study groups, Causes me to procrastinate",Occasionally,"Participating in online discussions, Joining study groups, Sharing academic resources",Multiple times per hour,Neutral,Yes,No,Not sure,Mostly negative,Awareness,Improper content,Staff per know partner.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Tablet,"News and updates, Professional networking, Entertainment",2.5-3.0,Not sure,"Helps me with research and study groups, Distracts me from studying",Frequently,"Sharing academic resources, Watching educational videos, Participating in online discussions, Joining study groups",Every hour,Neutral,Yes,Not sure,Yes,Neutral,Wide range of resources,Nothing,Interest foreign look size space clearly.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Laptop,Professional networking,2.5-3.0,Yes,Distracts me from studying,Frequently,"Watching educational videos, Seeking help from peers/experts",Every hour,Mostly negative,Yes,Not sure,Yes,Mostly positive,Awareness,Information insecurity and rumors,Lot item sound physical.
16-18,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Entertainment,2.5-3.0,Not sure,Helps me with research and study groups,Occasionally,Participating in online discussions,Multiple times per hour,Mostly negative,Not sure,Not sure,Yes,Neutral,Educational information,Information insecurity and rumors,Receive section fact a common turn event late.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,Entertainment,2.0-2.5,Not sure,"Helps me with research and study groups, Causes me to procrastinate, Motivates me through educational content",Always,Participating in online discussions,Once or twice,Mostly positive,Not sure,Yes,Not sure,Unsure,Educational information,Distraction,Environment carry wear need final check training.
16-18,College/University,More than 6 hours,"WhatsApp, YouTube",Laptop,"Professional networking, Socializing with friends, Entertainment",3.0-3.5,No,"Distracts me from studying, Motivates me through educational content",Frequently,"Sharing academic resources, Participating in online discussions, Seeking help from peers/experts, Watching educational videos",Once or twice,Neutral,No,Yes,No,Mostly positive,Wide range of resources,Information insecurity and rumors,Need right past find toward age partner.
16-18,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Educational purposes, Socializing with friends",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content",Occasionally,"Joining study groups, Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Every hour,Neutral,Yes,Not sure,Yes,Unsure,Wide range of resources,Information insecurity and rumors,Oil seat for finish.
Over 21,College/University,5-6 hours,"Instagram, WhatsApp",Laptop,"Professional networking, Entertainment, Educational purposes",2.0-2.5,Yes,Distracts me from studying,Occasionally,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources, Participating in online discussions",Once or twice,Unsure,Yes,Not sure,No,Mostly negative,Entertainment,Improper content,Organization occur test central.
19-21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,Socializing with friends,3.5-4.0,Yes,Causes me to procrastinate,Frequently,"Seeking help from peers/experts, Joining study groups",Every hour,Neutral,No,No,No,Unsure,Entertainment,It causes procrastination,Window per use catch and.
16-18,College/University,1-2 hours,Instagram,Smartphone,"Professional networking, Educational purposes, Socializing with friends",3.5-4.0,Yes,Motivates me through educational content,Frequently,"Seeking help from peers/experts, Watching educational videos, Participating in online discussions",Once or twice,Mostly positive,No,No,Yes,Mostly positive,It connects the whole world,Addiction,Whose whom give sure evidence certainly show.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Entertainment, Professional networking, Socializing with friends",3.5-4.0,Not sure,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Always,"Watching educational videos, Seeking help from peers/experts, Joining study groups, Participating in online discussions",Once or twice,Unsure,Yes,No,No,Neutral,Entertainment,Distraction,Appear no official season even recognize.
Over 21,College/University,5-6 hours,YouTube,Smartphone,"Entertainment, Professional networking",3.0-3.5,Yes,"Motivates me through educational content, Causes me to procrastinate",Occasionally,"Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Not sure,Yes,Yes,Unsure,Wide range of resources,Improper content,Example student respond well apply authority bad.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Socializing with friends",3.5-4.0,Yes,"Distracts me from studying, Helps me with research and study groups, Motivates me through educational content",Always,"Sharing academic resources, Seeking help from peers/experts",Multiple times per hour,Mostly negative,No,Not sure,No,Mostly negative,It connects the whole world,Information insecurity and rumors,Effort enough ability group benefit financial especially.
16-18,College/University,5-6 hours,Instagram,Smartphone,"Entertainment, News and updates",2.5-3.0,Not sure,"Distracts me from studying, Motivates me through educational content, Causes me to procrastinate",Occasionally,Watching educational videos,Multiple times per hour,Unsure,No,No,Not sure,Mostly negative,Entertainment,It causes procrastination,Deep million material suggest office.
16-18,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,"Entertainment, Professional networking, Socializing with friends",3.5-4.0,No,"Motivates me through educational content, Distracts me from studying, Helps me with research and study groups",Always,"Watching educational videos, Seeking help from peers/experts, Sharing academic resources",Multiple times per hour,Neutral,No,Yes,Yes,Neutral,Socializing with friends,Addiction,Order three seem answer model.
Over 21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Laptop,"Entertainment, Educational purposes",3.0-3.5,Yes,Causes me to procrastinate,Occasionally,Joining study groups,Every hour,Mostly negative,No,Yes,No,Mostly negative,It connects the whole world,Addiction,Design then piece line husband beautiful relationship.
16-18,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Socializing with friends, News and updates, Entertainment",2.0-2.5,Yes,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Frequently,"Seeking help from peers/experts, Watching educational videos",Every hour,Unsure,Not sure,Not sure,Yes,Mostly positive,Socializing with friends,Nothing,Man what fine worker.
Over 21,College/University,More than 6 hours,Instagram,Smartphone,Socializing with friends,3.5-4.0,Not sure,"Motivates me through educational content, Helps me with research and study groups",Occasionally,Participating in online discussions,Multiple times per hour,Unsure,No,No,Not sure,Mostly negative,Socializing with friends,Information insecurity and rumors,Collection visit science north quite run.
16-18,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"News and updates, Educational purposes, Entertainment",2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups",Always,"Participating in online discussions, Watching educational videos, Seeking help from peers/experts, Sharing academic resources",Every hour,Mostly negative,Not sure,Yes,Yes,Mostly positive,Socializing with friends,Information insecurity and rumors,Whole analysis must interesting serious decision unit.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Socializing with friends, Educational purposes",3.0-3.5,Not sure,"Causes me to procrastinate, Distracts me from studying",Always,"Participating in online discussions, Sharing academic resources, Seeking help from peers/experts",Once or twice,Mostly positive,Yes,Not sure,Not sure,Mostly positive,Awareness,Improper content,Experience Republican movie energy make series according.
16-18,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Laptop,"Socializing with friends, News and updates",2.5-3.0,Yes,"Motivates me through educational content, Causes me to procrastinate",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Watching educational videos",Multiple times per hour,Unsure,No,Not sure,No,Unsure,Awareness,Nothing,Particular upon score artist.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,Professional networking,3.0-3.5,Yes,Helps me with research and study groups,Occasionally,"Joining study groups, Participating in online discussions",Multiple times per hour,Unsure,No,Not sure,Not sure,Mostly positive,Educational information,Nothing,Party scientist develop goal chance learn most.
Over 21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,Educational purposes,3.0-3.5,No,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Always,"Sharing academic resources, Watching educational videos, Participating in online discussions",Every hour,Mostly negative,Yes,Not sure,Yes,Mostly positive,Wide range of resources,Improper content,Play south or picture.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Entertainment, Educational purposes",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Always,"Seeking help from peers/experts, Joining study groups",Once or twice,Unsure,Yes,Yes,Not sure,Neutral,It connects the whole world,Information insecurity and rumors,Letter ball least.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Socializing with friends,2.0-2.5,Yes,"Helps me with research and study groups, Distracts me from studying, Motivates me through educational content",Always,"Joining study groups, Seeking help from peers/experts",Once or twice,Unsure,Not sure,No,Yes,Neutral,Entertainment,Distraction,Relate society provide.
19-21,College/University,3-4 hours,Instagram,Tablet,"Entertainment, News and updates, Educational purposes",2.5-3.0,No,Causes me to procrastinate,Frequently,Watching educational videos,Once or twice,Mostly positive,No,No,Yes,Mostly positive,Awareness,Nothing,Form occur health walk mind.
16-18,College/University,1-2 hours,"WhatsApp, YouTube",Laptop,"Socializing with friends, News and updates",3.0-3.5,No,Motivates me through educational content,Frequently,Sharing academic resources,Multiple times per hour,Unsure,Yes,Yes,Not sure,Neutral,Socializing with friends,Addiction,Bed mind newspaper time support.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, Educational purposes, Entertainment",3.0-3.5,No,"Distracts me from studying, Causes me to procrastinate",Always,Sharing academic resources,Every hour,Mostly positive,Yes,Yes,Yes,Neutral,Socializing with friends,Addiction,Force above song establish.
19-21,College/University,1-2 hours,Instagram,Smartphone,"Professional networking, Educational purposes",2.0-2.5,Yes,"Distracts me from studying, Causes me to procrastinate",Occasionally,Joining study groups,Multiple times per hour,Unsure,Not sure,No,Not sure,Mostly positive,Educational information,Improper content,Deep again matter fall research early center.
Over 21,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Educational purposes, Professional networking",3.0-3.5,No,Causes me to procrastinate,Frequently,"Joining study groups, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Once or twice,Mostly positive,Not sure,Yes,No,Neutral,Socializing with friends,Distraction,Billion lawyer tree move.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Socializing with friends, News and updates",3.5-4.0,No,"Distracts me from studying, Motivates me through educational content",Frequently,Joining study groups,Every hour,Neutral,Yes,Yes,No,Mostly positive,Educational information,Addiction,Day woman performance city development audience.
